layer_idx,module,mean,std,min,max,l2_norm
0,attn_res_agg,0.0,0.0,0.0,0.0,0.0
0,mlp_res_agg,0.0005694637075066566,0.03338463604450226,-0.08439967036247253,0.08610117435455322,0.9253168106079102
1,attn_res_agg,-0.0007367872167378664,0.019108861684799194,-0.0430641770362854,0.04670732840895653,0.5299537777900696
1,mlp_res_agg,-0.0008304230868816376,0.02218969166278839,-0.07768526673316956,0.07014812529087067,0.6153692007064819
2,attn_res_agg,9.029013017425314e-05,0.021660255268216133,-0.048058316111564636,0.054316774010658264,0.6002718210220337
2,mlp_res_agg,-0.001136552426032722,0.022517072036862373,-0.07387031614780426,0.05700331926345825,0.6248058080673218
3,attn_res_agg,-0.0012843175791203976,0.02125948667526245,-0.050709065049886703,0.04503855109214783,0.5902342796325684
3,mlp_res_agg,-0.0002133550151484087,0.009471738710999489,-0.02746141515672207,0.031110700219869614,0.2625550925731659
4,attn_res_agg,3.709177690325305e-05,0.005590286571532488,-0.016453536227345467,0.015883387997746468,0.15492598712444305
4,mlp_res_agg,-0.0005120970890857279,0.017156269401311874,-0.0507381446659565,0.06489637494087219,0.4756602644920349
5,attn_res_agg,-0.00048737297765910625,0.006316532846540213,-0.01878887042403221,0.01680651679635048,0.17556917667388916
5,mlp_res_agg,-0.0005518170655705035,0.020112259313464165,-0.06524205207824707,0.07995466887950897,0.5575770139694214
6,attn_res_agg,-0.000387977110221982,0.007877489551901817,-0.025824248790740967,0.024310726672410965,0.2185720056295395
6,mlp_res_agg,0.0010201759869232774,0.028605913743376732,-0.07324489206075668,0.07167136669158936,0.7932543158531189
7,attn_res_agg,0.0011287411907687783,0.013966620899736881,-0.05371057242155075,0.06586101651191711,0.3883163034915924
7,mlp_res_agg,0.001357470522634685,0.030767017975449562,-0.07346725463867188,0.08519971370697021,0.8534700274467468
8,attn_res_agg,-0.00044548363075591624,0.010132531635463238,-0.036571573466062546,0.03575677424669266,0.2810722291469574
8,mlp_res_agg,-0.00030977895949035883,0.009864301420748234,-0.04039706662297249,0.027802256867289543,0.27350229024887085
9,attn_res_agg,0.0007493849843740463,0.00414266437292099,-0.013838612474501133,0.019946008920669556,0.11666812747716904
9,mlp_res_agg,-0.00046211713925004005,0.007627221290022135,-0.037428949028253555,0.03412575274705887,0.21175935864448547
10,attn_res_agg,-0.0006918522994965315,0.006344407796859741,-0.020993085578083992,0.02332952432334423,0.17686370015144348
10,mlp_res_agg,-0.00031164634856395423,0.010529930703341961,-0.05334130674600601,0.048516351729631424,0.29194176197052
11,attn_res_agg,-0.0009161130874417722,0.008565789088606834,-0.03751053288578987,0.04295571893453598,0.2387358844280243
11,mlp_res_agg,-0.0019876027945429087,0.012027234770357609,-0.057451050728559494,0.050290461629629135,0.33782923221588135
